binary,case,dataset,delta_rise_minus_fall,description,fall_value,fish,fluo_type,method,method_internal,metric,recording,rise_value,trace,trial
False,C,motoneurons,5.573813187045359,bad neurons and artefacts removed,0.10727592515818644,5,C,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F5T2,5.681089112203545,2,
False,C,motoneurons,3.541897050299976,bad neurons and artefacts removed,0.19977467695477386,5,C,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F5T2,3.7416717272547495,2,
False,D,motoneurons,-0.11758486266707974,corrected traces smoothed,0.27010866419326485,3,D,rising_flank_cgc,rising_flank_cgc,w_ic,F3T1,0.1525238015261851,1,
False,D,motoneurons,1.0,corrected traces smoothed,0.0,3,D,rising_flank_cgc,rising_flank_cgc,w_rc,F3T1,1.0,1,
False,D,motoneurons,-0.03296703296703296,corrected traces smoothed,0.10989010989010989,3,D,rising_flank_cgc,rising_flank_cgc,edge_density,F3T1,0.07692307692307693,1,
False,D,motoneurons,-6.0,corrected traces smoothed,20.0,3,D,rising_flank_cgc,rising_flank_cgc,retained_edges,F3T1,14.0,1,
False,D,motoneurons,6.486039496921094,corrected traces smoothed,2.878360960372641,3,D,rising_flank_cgc,rising_flank_cgc,total_weight,F3T1,9.364400457293735,1,
False,D,motoneurons,0.5583719207238976,corrected traces smoothed,0.6931495876633785,3,D,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F3T1,1.2515215083872762,1,
False,D,motoneurons,5.927667576197197,corrected traces smoothed,2.1852113727092624,3,D,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F3T1,8.11287894890646,1,
False,D,motoneurons,1.2515215083872762,corrected traces smoothed,0.0,3,D,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F3T1,1.2515215083872762,1,
False,D,motoneurons,-0.6931495876633785,corrected traces smoothed,0.6931495876633785,3,D,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F3T1,0.0,1,
False,D,motoneurons,0.5163624871772556,corrected traces smoothed,0.0,3,D,rising_flank_cgc,rising_flank_cgc,w_ic,F3T2,0.5163624871772556,2,
False,D,motoneurons,0.06363636363636363,corrected traces smoothed,0.00909090909090909,3,D,rising_flank_cgc,rising_flank_cgc,edge_density,F3T2,0.07272727272727272,2,
False,D,motoneurons,7.0,corrected traces smoothed,1.0,3,D,rising_flank_cgc,rising_flank_cgc,retained_edges,F3T2,8.0,2,
False,D,motoneurons,3.6498906526650674,corrected traces smoothed,0.12161196036152712,3,D,rising_flank_cgc,rising_flank_cgc,total_weight,F3T2,3.7715026130265947,2,
False,D,motoneurons,1.7757031396623626,corrected traces smoothed,0.0,3,D,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F3T2,1.7757031396623626,2,
False,D,motoneurons,1.874187513002705,corrected traces smoothed,0.12161196036152712,3,D,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F3T2,1.9957994733642321,2,
False,D,motoneurons,0.9483121046222334,corrected traces smoothed,0.0,3,D,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F3T2,0.9483121046222334,2,
False,D,motoneurons,0.8273910350401293,corrected traces smoothed,0.0,3,D,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F3T2,0.8273910350401293,2,
False,D,motoneurons,-0.8939338457254618,corrected traces smoothed,1.0,5,D,rising_flank_cgc,rising_flank_cgc,w_ic,F5T2,0.10606615427453821,2,
False,D,motoneurons,0.06960376008173227,corrected traces smoothed,0.1949327429983662,5,D,rising_flank_cgc,rising_flank_cgc,w_rc,F5T2,0.26453650308009846,2,
False,D,motoneurons,0.04779411764705882,corrected traces smoothed,0.01838235294117647,5,D,rising_flank_cgc,rising_flank_cgc,edge_density,F5T2,0.0661764705882353,2,
False,D,motoneurons,13.0,corrected traces smoothed,5.0,5,D,rising_flank_cgc,rising_flank_cgc,retained_edges,F5T2,18.0,2,
False,D,motoneurons,12.805268818394586,corrected traces smoothed,0.6392410776553124,5,D,rising_flank_cgc,rising_flank_cgc,total_weight,F5T2,13.444509896049897,2,
False,D,motoneurons,0.6434376429338596,corrected traces smoothed,0.6392410776553125,5,D,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F5T2,1.282678720589172,2,
False,D,motoneurons,12.161831175460723,corrected traces smoothed,0.0,5,D,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F5T2,12.161831175460723,2,
False,D,motoneurons,0.21470632661533268,corrected traces smoothed,0.12460901670458165,5,D,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F5T2,0.3393153433199143,2,
False,D,motoneurons,0.42873131631852723,corrected traces smoothed,0.5146320609507307,5,D,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F5T2,0.9433633772692579,2,
